dep	github.com/grafana/regexp	v0.0.0-20240518133315-a468a5bfb3bc	h1:GN2Lv3MGO7AS6PrRoT6yV5+wkrOpcszoIsO4+4ds248=
dep	github.com/grpc-ecosystem/grpc-gateway/v2	v2.22.0	h1:asbCHRVmodnJTuQ3qamDwqVOIjwqUPTYmYuemVOx+Ys=
dep	github.com/hako/durafmt	v0.0.0-20210608085754-5c1018a4e16b	h1:wDUNC2eKiL35DbLvsDhiblTUXHxcOPwQSCzi7xpQUN4=
dep	github.com/hashicorp/go-cleanhttp	v0.5.2	h1:035FKYIWjmULyFRBKPs8TBQoi0x6d9G4xc9neXJWAZQ=
dep	github.com/hashicorp/go-retryablehttp	v0.7.7	h1:C8hUCYzor8PIfXHa4UrZkU4VvK8o9ISHxT2Q8+VepXU=
dep	github.com/hashicorp/go-version	v1.7.0	h1:5tqGy27NaOTB8yJKUZELlFAS/LTKJkrmONwQKeRZfjY=
dep	github.com/invopop/jsonschema	v0.13.0	h1:KvpoAJWEjR3uD9Kbm2HWJmqsEaHt8lBUpd0qHcIi21E=
dep	github.com/jackc/puddle/v2	v2.2.1	h1:RhxXJtFG022u4ibrCSMSiu5aOq1i77R3OHKNJj77OAk=
dep	github.com/jonboulle/clockwork	v0.2.2	h1:UOGuzwb1PwsrDAObMuhUnj0p5ULPj8V/xJ7Kx9qUBdQ=
dep	github.com/jpillora/backoff	v1.0.0	h1:uvFg412JmmHBHw7iwprIxkPMI+sGQ4kzOWsMeHnm2EA=
dep	github.com/klauspost/compress	v1.17.10	h1:oXAz+Vh0PMUvJczoi+flxpnBEPxoER1IaAnU/NMPtT0=
dep	github.com/lib/pq	v1.10.7	h1:p7ZhMD+KsSRozJr34udlUrhboJwWAgCg34+/ZZNvZZw=
dep	github.com/mailru/easyjson	v0.7.7	h1:UGYAvKxe3sBsEDzO8ZeWOSlIQfWFlxbzLZe7hwFURr0=
dep	github.com/mark3labs/mcp-go	v0.45.0	h1:s0S8qR/9fWaQ3pHxz7pm1uQ0DrswoSnRIxKIjbiQtkc=
dep	github.com/matoous/go-nanoid	v1.5.0	h1:VRorl6uCngneC4oUQqOYtO3S0H5QKFtKuKycFG3euek=
dep	github.com/mattermost/xml-roundtrip-validator	v0.1.0	h1:RXbVD2UAl7A7nOTR4u7E3ILa4IbtvKBHw64LDsmu9hU=
dep	github.com/mattn/go-sqlite3	v1.14.15	h1:vfoHhTN1af61xCRSWzFIWzx2YskyMTwHLrExkBOjvxI=
dep	github.com/munnerz/goautoneg	v0.0.0-20191010083416-a7dc8b61c822	h1:C3w9PqII01/Oq1c1nUAm88MOHcQC9l5mIlSMApZMrHA=
dep	github.com/openai/openai-go/v3	v3.22.0	h1:6MEoNoV8sbjOVmXdvhmuX3BjVbVdcExbVyGixiyJ8ys=
dep	github.com/opsgenie/opsgenie-go-sdk-v2	v1.2.14	h1:ni+M5q9QIZQq5xQiYzbttDZpPQogPWx8MdHpvZtWcTE=
dep	github.com/paulmach/orb	v0.9.0	h1:MwA1DqOKtvCgm7u9RZ/pnYejTeDJPnr0+0oFajBbJqk=
dep	github.com/pierrec/lz4/v4	v4.1.21	h1:yOVMLb6qSIDP67pl/5F7RepeKYu/VmTyEXvuMI5d9mQ=
dep	github.com/pkg/errors	v0.9.1	h1:FEBLx1zS214owpjy7qsBeixbURkuhQAwrK5UwLGTwt4=
dep	github.com/prometheus/client_golang	v1.20.5	h1:cxppBPuYhUnsO6yo/aoRol4L7q7UFfdm+bR9r+8l63Y=
dep	github.com/prometheus/client_model	v0.6.1	h1:ZKSh/rekM+n3CeS952MLRAdFwIKqeY8b62p8ais2e9E=
dep	github.com/prometheus/common	v0.60.1	h1:FUas6GcOw66yB/73KC+BOZoFJmbo/1pojoILArPAaSc=
dep	github.com/prometheus/procfs	v0.15.1	h1:YagwOFzUgYfKKHX6Dr+sHT7km/hxC76UB0learggepc=
dep	github.com/prometheus/prometheus	v0.300.0	h1:nVxAKi1ceyQxKa8r3gzMQyp7pMLeN1sPWvOlrv3ce1Q=
dep	github.com/russellhaering/goxmldsig	v1.3.0	h1:DllIWUgMy0cRUMfGiASiYEa35nsieyD3cigIwLonTPM=
dep	github.com/segmentio/asm	v1.2.0	h1:9BQrFxC+YOHJlTlHGkTrFWf59nbL3XnCoFLTwDCI7ys=
dep	github.com/shopspring/decimal	v1.3.1	h1:2Usl1nmF/WZucqkFZhnfFYxxxu8LG21F6nPQBE5gKV8=
dep	github.com/sirupsen/logrus	v1.9.3	h1:dueUQJ1C2q9oE3F7wvmSGAaVtTmUizReu6fjN8uqzbQ=
dep	github.com/slack-go/slack	v0.11.3	h1:GN7revxEMax4amCc3El9a+9SGnjmBvSUobs0QnO6ZO8=
