golang.org/x/crypto	v0.40.0	GHSA-f6x5-jh6r-wrfv	CVE-2025-47914, GO-2025-4135	CVSS_V3:CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L, GHSA:MODERATE	2025-11-19	2026-03-24	golang.org/x/crypto/ssh/agent vulnerable to panic if message is malformed due to out of bounds read
golang.org/x/crypto	v0.40.0	GHSA-j5w8-q4qc-rx2x	CVE-2025-58181, GO-2025-4134	CVSS_V3:CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:L, GHSA:MODERATE	2025-11-19	2026-03-24	golang.org/x/crypto/ssh allows an attacker to cause unbounded memory consumption
golang.org/x/crypto	v0.40.0	GO-2025-4116	CVE-2025-47913, GHSA-56w8-48fp-6mgv		2025-11-13	2026-05-21	Potential denial of service in golang.org/x/crypto/ssh/agent
golang.org/x/crypto	v0.40.0	GO-2025-4134	CVE-2025-58181, GHSA-j5w8-q4qc-rx2x		2025-11-19	2026-05-15	Unbounded memory consumption in golang.org/x/crypto/ssh
golang.org/x/crypto	v0.40.0	GO-2025-4135	CVE-2025-47914, GHSA-f6x5-jh6r-wrfv		2025-11-19	2026-05-15	Malformed constraint may cause denial of service in golang.org/x/crypto/ssh/agent
golang.org/x/crypto	v0.40.0	GO-2026-5005	CVE-2026-39833		2026-05-22	2026-05-27	Invoking key constraints not enforced in golang.org/x/crypto/ssh/agent
golang.org/x/crypto	v0.40.0	GO-2026-5006	CVE-2026-39832		2026-05-22	2026-05-27	Invoking agent constraints dropped when forwarding keys in golang.org/x/crypto/ssh/agent
golang.org/x/crypto	v0.40.0	GO-2026-5013	CVE-2026-46597		2026-05-22	2026-05-27	Invoking byte arithmetic causes underflow and panic in golang.org/x/crypto/ssh
golang.org/x/crypto	v0.40.0	GO-2026-5014	CVE-2026-39828		2026-05-22	2026-05-27	Invoking bypass of certificate restrictions in golang.org/x/crypto/ssh
golang.org/x/crypto	v0.40.0	GO-2026-5015	CVE-2026-39835		2026-05-22	2026-05-27	Invoking server panic during CheckHostKey/Authenticate in golang.org/x/crypto/ssh
