golang.org/x/net	v0.41.0	GO-2026-4440	CVE-2025-47911, GHSA-w4gw-w5jq-g9jh		0.45.0	2026-02-05	2026-05-15	Quadratic parsing complexity in golang.org/x/net/html
golang.org/x/net	v0.41.0	GO-2026-4441	CVE-2025-58190		0.45.0	2026-02-05	2026-05-15	Infinite parsing loop in golang.org/x/net
golang.org/x/net	v0.41.0	GO-2026-4918	BIT-golang-2026-33814, CVE-2026-33814		0.53.0	2026-05-07	2026-05-11	Infinite loop in HTTP/2 transport when given bad SETTINGS_MAX_FRAME_SIZE in net/http/internal/http2 in golang.org/x/net
golang.org/x/net	v0.41.0	GO-2026-5025	CVE-2026-42506		0.55.0	2026-05-22	2026-05-30	Invoking incorrect handling of namespaced elements in foreign content in golang.org/x/net/html
golang.org/x/net	v0.41.0	GO-2026-5026	CVE-2026-39821		0.55.0	2026-05-22	2026-06-04	Invoking failure to reject ASCII-only Punycode-encoded labels in golang.org/x/net/idna
golang.org/x/net	v0.41.0	GO-2026-5027	CVE-2026-42502		0.55.0	2026-05-22	2026-05-30	Invoking incorrect handling of HTML elements in foreign content in golang.org/x/net/html
golang.org/x/net	v0.41.0	GO-2026-5028	CVE-2026-25680		0.55.0	2026-05-22	2026-05-30	Invoking denial of service when parsing arbitrary HTML in golang.org/x/net/html
golang.org/x/net	v0.41.0	GO-2026-5029	CVE-2026-25681		0.55.0	2026-05-22	2026-05-30	Invoking incorrect handling of character references in DOCTYPE nodes in golang.org/x/net/html
golang.org/x/net	v0.41.0	GO-2026-5030	CVE-2026-27136		0.55.0	2026-05-22	2026-05-30	Invoking duplicate attributes can cause XSS in golang.org/x/net/html
golang.org/x/sys	v0.34.0	GO-2026-5024	CVE-2026-39824		0.44.0	2026-05-22	2026-06-09	Invoking integer overflow in NewNTUnicodeString in golang.org/x/sys/windows
google.golang.org/grpc	v1.67.1	GHSA-p77j-4mvh-x3m3	CVE-2026-33186, GO-2026-4762	CRITICAL/CVSS_V3	1.79.3	2026-03-18	2026-03-27	gRPC-Go has an authorization bypass via missing leading slash in :path
