source	line_or_basis	category	methods	path	note
coroot-src/main.go	209	api_or_http_route	Get,Post	/api/project/{project}/app/{app}/logs	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	210	api_or_http_route	Post	/api/project/{project}/app/{app}/risks	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	211	api_or_http_route	Get	/api/project/{project}/node/{node}	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	212	api_or_http_route	*	/api/project/{project}/prom/api/v1/{rest:.+}	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	214	api_or_http_route	Get	/.well-known/oauth-protected-resource	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	215	api_or_http_route	Get	/.well-known/oauth-authorization-server	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	216	api_or_http_route	Post	/oauth/register	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	217	api_or_http_route	Get,Post	/oauth/authorize	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	218	api_or_http_route	Post	/oauth/token	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	219	api_or_http_route	Post	/oauth/revoke	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	220	api_or_http_route	*	/mcp	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	222	api_or_http_route	*	/api/v1/query_range	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	223	api_or_http_route	*	/api/v1/series	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	224	api_or_http_route	*	/api/v1/metadata	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	225	api_or_http_route	*	/api/v1/label/{labelName}/values	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	227	api_or_http_route	Get	/api/clickhouse-config	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	228	api_or_http_route	Connect	/api/clickhouse-connect	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	230	api_or_http_route	Post	/stats	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	233	api_or_http_route	Get	/stats	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
coroot-src/main.go	238	static_asset	*	/static/	from OSS coroot v1.22.0 main.go; enterprise binary links compatible handlers
binary_strings+enterprise_symbols	inferred	enterprise_sso	Post	/sso/saml	handler github.com/coroot/enterprise/api.(*Api).SamlACS and string /sso/saml
binary_strings+enterprise_symbols	inferred	enterprise_sso	Get	/sso/oidc	handler github.com/coroot/enterprise/api.(*Api).OIDCCallback and string /sso/oidc
binary_strings+enterprise_symbols	inferred	enterprise_sso	Get	/api/sso-login	handler SSOLogin and binary string /api/sso-login
binary_strings+enterprise_symbols	inferred	enterprise_sso	Get	/api/sso-status	handler SSOStatus and binary string /api/sso-status
