source	offset_hex	path	confidence
binary_strings_and_symbols	0x19be650	/api/v1	binary_string_candidate
binary_strings_and_symbols	0x148edd7	/api/v1/label/document	binary_string_candidate
binary_strings_and_symbols	0x1496197	/api/v1/query_range./static/index.htmlreflect	binary_string_candidate
binary_strings_and_symbols	0x148c925	/api/v1/write	binary_string_candidate
binary_strings_and_symbols	0x2c8d796	/api/views	binary_string_candidate
binary_strings_and_symbols	0x3bde48a	/api/views..stmp_0	binary_string_candidate
binary_strings_and_symbols	0x10baf33	/api/views/alert	binary_string_candidate
binary_strings_and_symbols	0x3c6100d	/api/views/alert..stmp_0	binary_string_candidate
binary_strings_and_symbols	0x3c6103e	/api/views/alert..stmp_2	binary_string_candidate
binary_strings_and_symbols	0x3c6106f	/api/views/alert..stmp_3	binary_string_candidate
binary_strings_and_symbols	0x2c0d7a7	/api/views/alert.alert	binary_string_candidate
binary_strings_and_symbols	0x2c0d71f	/api/views/alert.kubernetes	binary_string_candidate
binary_strings_and_symbols	0x2c0d6e4	/api/views/alert.log	binary_string_candidate
binary_strings_and_symbols	0x2c0d815	/api/views/alert.render	binary_string_candidate
binary_strings_and_symbols	0x2e35e85	/api/views/alert/alert.go	binary_string_candidate
binary_strings_and_symbols	0x10cd289	/api/views/application	binary_string_candidate
binary_strings_and_symbols	0x2e35ecb	/api/views/application/application.go	binary_string_candidate
binary_strings_and_symbols	0x10cfefb	/api/views/applications	binary_string_candidate
binary_strings_and_symbols	0x2e35f1d	/api/views/applications/custom_applications.go	binary_string_candidate
binary_strings_and_symbols	0x10b5245	/api/views/aws	binary_string_candidate
binary_strings_and_symbols	0x2e35f78	/api/views/aws/aws.go	binary_string_candidate
binary_strings_and_symbols	0x10ca63a	/api/views/dashboards	binary_string_candidate
binary_strings_and_symbols	0x2e35fba	/api/views/dashboards/dashboards.go	binary_string_candidate
binary_strings_and_symbols	0x2e3600a	/api/views/dashboards/panel.go	binary_string_candidate
binary_strings_and_symbols	0x10c41be	/api/views/incident	binary_string_candidate
binary_strings_and_symbols	0x2c0df50	/api/views/incident.incident	binary_string_candidate
binary_strings_and_symbols	0x2c0dee2	/api/views/incident.render	binary_string_candidate
binary_strings_and_symbols	0x2e36055	/api/views/incident/incident.go	binary_string_candidate
binary_strings_and_symbols	0x10cd2b9	/api/views/inspections	binary_string_candidate
binary_strings_and_symbols	0x3c610a0	/api/views/inspections..stmp_0	binary_string_candidate
binary_strings_and_symbols	0x2e360a1	/api/views/inspections/inspections.go	binary_string_candidate
binary_strings_and_symbols	0x10b7f41	/api/views/logs	binary_string_candidate
binary_strings_and_symbols	0x2c0e53a	/api/views/logs.render	binary_string_candidate
binary_strings_and_symbols	0x2e360f3	/api/views/logs/logs.go	binary_string_candidate
binary_strings_and_symbols	0x10c3273	/api/views/overview	binary_string_candidate
binary_strings_and_symbols	0x3bdfe34	/api/views/overview..inittask	binary_string_candidate
binary_strings_and_symbols	0x3c31709	/api/views/overview..stmp_0	binary_string_candidate
binary_strings_and_symbols	0x3c317a5	/api/views/overview..stmp_10	binary_string_candidate
binary_strings_and_symbols	0x3c317da	/api/views/overview..stmp_11	binary_string_candidate
binary_strings_and_symbols	0x3c3173d	/api/views/overview..stmp_7	binary_string_candidate
binary_strings_and_symbols	0x3c31771	/api/views/overview..stmp_8	binary_string_candidate
binary_strings_and_symbols	0x2c0f68a	/api/views/overview.add	binary_string_candidate
binary_strings_and_symbols	0x2c0e7f5	/api/views/overview.argo	binary_string_candidate
binary_strings_and_symbols	0x2c0f452	/api/views/overview.availability	binary_string_candidate
binary_strings_and_symbols	0x2c0e73f	/api/views/overview.calc	binary_string_candidate
binary_strings_and_symbols	0x2c0ffad	/api/views/overview.connection	binary_string_candidate
binary_strings_and_symbols	0x2c0f4cd	/api/views/overview.db	binary_string_candidate
binary_strings_and_symbols	0x2c0ee9b	/api/views/overview.flux	binary_string_candidate
binary_strings_and_symbols	0x2c0e68d	/api/views/overview.format	binary_string_candidate
binary_strings_and_symbols	0x2c0e7b6	/api/views/overview.get	binary_string_candidate
binary_strings_and_symbols	0x2c0fcde	/api/views/overview.hist	binary_string_candidate
binary_strings_and_symbols	0x2c0e61d	/api/views/overview.init	binary_string_candidate
binary_strings_and_symbols	0x2c0e70c	/api/views/overview.init.0	binary_string_candidate
binary_strings_and_symbols	0x2c0feb6	/api/views/overview.instance	binary_string_candidate
binary_strings_and_symbols	0x2c0ff33	/api/views/overview.key	binary_string_candidate
binary_strings_and_symbols	0x3a03eb3	/api/views/overview.key.1	binary_string_candidate
binary_strings_and_symbols	0x2c0ecea	/api/views/overview.monthly	binary_string_candidate
binary_strings_and_symbols	0x2c0f60d	/api/views/overview.parse	binary_string_candidate
binary_strings_and_symbols	0x2c0e781	/api/views/overview.quantile	binary_string_candidate
binary_strings_and_symbols	0x2c0e64e	/api/views/overview.render	binary_string_candidate
binary_strings_and_symbols	0x2c0ead6	/api/views/overview.resource	binary_string_candidate
binary_strings_and_symbols	0x2c0f79e	/api/views/overview.span	binary_string_candidate
binary_strings_and_symbols	0x2c0ffad	/api/views/overview.status	binary_string_candidate
binary_strings_and_symbols	0x2c0ea23	/api/views/overview.top	binary_string_candidate
binary_strings_and_symbols	0x2e36181	/api/views/overview/applications.go	binary_string_candidate
binary_strings_and_symbols	0x2e36137	/api/views/overview/argocd.go	binary_string_candidate
binary_strings_and_symbols	0x2e361d1	/api/views/overview/costs.go	binary_string_candidate
binary_strings_and_symbols	0x2e36263	/api/views/overview/deployments.go	binary_string_candidate
binary_strings_and_symbols	0x2e362b2	/api/views/overview/fluxcd.go	binary_string_candidate
binary_strings_and_symbols	0x2e362fc	/api/views/overview/logs.go	binary_string_candidate
binary_strings_and_symbols	0x2e36344	/api/views/overview/nodes.go	binary_string_candidate
binary_strings_and_symbols	0x2e3638d	/api/views/overview/overview.go	binary_string_candidate
binary_strings_and_symbols	0x2e363d9	/api/views/overview/risks.go	binary_string_candidate
binary_strings_and_symbols	0x2e36422	/api/views/overview/service_map.go	binary_string_candidate
binary_strings_and_symbols	0x2e36471	/api/views/overview/traces.go	binary_string_candidate
binary_strings_and_symbols	0x2e3621a	/api/views/overview/types.go	binary_string_candidate
binary_strings_and_symbols	0x10c740b	/api/views/profiling	binary_string_candidate
binary_strings_and_symbols	0x3c610d7	/api/views/profiling..stmp_0	binary_string_candidate
binary_strings_and_symbols	0x2c10334	/api/views/profiling.get	binary_string_candidate
binary_strings_and_symbols	0x2e364bb	/api/views/profiling/profiling.go	binary_string_candidate
binary_strings_and_symbols	0x10baf5d	/api/views/roles	binary_string_candidate
binary_strings_and_symbols	0x2e36509	/api/views/roles/roles.go	binary_string_candidate
binary_strings_and_symbols	0x10c13eb	/api/views/tracing	binary_string_candidate
binary_strings_and_symbols	0x3c6110c	/api/views/tracing..stmp_0	binary_string_candidate
binary_strings_and_symbols	0x3c6113f	/api/views/tracing..stmp_1	binary_string_candidate
binary_strings_and_symbols	0x3c61172	/api/views/tracing..stmp_3	binary_string_candidate
binary_strings_and_symbols	0x2c1086e	/api/views/tracing.get	binary_string_candidate
binary_strings_and_symbols	0x2c10cf1	/api/views/tracing.span	binary_string_candidate
binary_strings_and_symbols	0x2e3654f	/api/views/tracing/tracing.go	binary_string_candidate
binary_strings_and_symbols	0x10baf87	/api/views/users	binary_string_candidate
binary_strings_and_symbols	0x2e36599	/api/views/users/users.go	binary_string_candidate
binary_strings_and_symbols	0x2e3fd68	/api/views/views.go	binary_string_candidate
binary_strings_and_symbols	0x10561a5	/debug	binary_string_candidate
binary_strings_and_symbols	0x14fdeb8	/debug/events	binary_string_candidate
binary_strings_and_symbols	0x148dda7	/debug/eventsnamespace-uribash_20241022bash_20250124allowed_toolsfile_citationfunction_calltranscriptioncomputer_calloutput_formatempty	binary_string_candidate
binary_strings_and_symbols	0x2e298ef	/debug/garbage.go	binary_string_candidate
binary_strings_and_symbols	0x2e2991a	/debug/mod.go	binary_string_candidate
binary_strings_and_symbols	0x148c925	/debug/pprof	binary_string_candidate
binary_strings_and_symbols	0x149831c	/debug/pprof/cmdline/debug/pprof/profilereading	binary_string_candidate
binary_strings_and_symbols	0x14965b6	/debug/pprof/symbol	binary_string_candidate
binary_strings_and_symbols	0x1493f0e	/debug/pprof/tracecannot	binary_string_candidate
binary_strings_and_symbols	0x1490989	/debug/requests	binary_string_candidate
binary_strings_and_symbols	0x2e29941	/debug/stack.go	binary_string_candidate
binary_strings_and_symbols	0x148aca7	/debug/vars	binary_string_candidate
binary_strings_and_symbols	0x1490989	/debug/varsspeed	binary_string_candidate
binary_strings_and_symbols	0x1483d3c	/health/api/ai	binary_string_candidate
binary_strings_and_symbols	0x10c86bb	/health/grpc_health_v1	binary_string_candidate
binary_strings_and_symbols	0x3c16922	/health/grpc_health_v1..inittask	binary_string_candidate
binary_strings_and_symbols	0x3c16cb5	/health/grpc_health_v1..stmp_0	binary_string_candidate
binary_strings_and_symbols	0x3c16cea	/health/grpc_health_v1..stmp_1	binary_string_candidate
binary_strings_and_symbols	0x3c16d1f	/health/grpc_health_v1..stmp_2	binary_string_candidate
binary_strings_and_symbols	0x3c16d54	/health/grpc_health_v1..stmp_3	binary_string_candidate
binary_strings_and_symbols	0x3c94749	/health/grpc_health_v1..stmp_8	binary_string_candidate
binary_strings_and_symbols	0x3c16c5f	/health/grpc_health_v1.file_grpc_health_v1_health_proto_dep	binary_string_candidate
binary_strings_and_symbols	0x3c16b5a	/health/grpc_health_v1.file_grpc_health_v1_health_proto_enum	binary_string_candidate
binary_strings_and_symbols	0x3c16c09	/health/grpc_health_v1.file_grpc_health_v1_health_proto_go	binary_string_candidate
binary_strings_and_symbols	0x2c507ac	/health/grpc_health_v1.file_grpc_health_v1_health_proto_init	binary_string_candidate
binary_strings_and_symbols	0x3c16bb2	/health/grpc_health_v1.file_grpc_health_v1_health_proto_msg	binary_string_candidate
binary_strings_and_symbols	0x2c5071e	/health/grpc_health_v1.file_grpc_health_v1_health_proto_raw	binary_string_candidate
binary_strings_and_symbols	0x2c5013d	/health/grpc_health_v1.init	binary_string_candidate
binary_strings_and_symbols	0x2c50778	/health/grpc_health_v1.init.0	binary_string_candidate
binary_strings_and_symbols	0x2e3d182	/health/grpc_health_v1/health.pb.go	binary_string_candidate
binary_strings_and_symbols	0x3676362	/health/v1/health.proto	binary_string_candidate
binary_strings_and_symbols	0x109e54d	/mcp	source_or_exact_string
binary_strings_and_symbols	0x2e3f4e2	/mcp/errors.go	binary_string_candidate
binary_strings_and_symbols	0x2e3f520	/mcp/prompts.go	binary_string_candidate
binary_strings_and_symbols	0x2e3f55f	/mcp/tasks.go	binary_string_candidate
