source	line	category	kind	methods	path	registration
coroot-src/main.go	196	api_or_http_route	HandleFunc	Get	/api/project/{project}/panel/data	r.HandleFunc("/api/project/{project}/panel/data", a.Auth(a.PanelData)).Methods(http.MethodGet)
coroot-src/main.go	197	api_or_http_route	HandleFunc	Get	/api/project/{project}/inspections	r.HandleFunc("/api/project/{project}/inspections", a.Auth(a.Inspections)).Methods(http.MethodGet)
coroot-src/main.go	198	api_or_http_route	HandleFunc	Get,Post	/api/project/{project}/application_categories	r.HandleFunc("/api/project/{project}/application_categories", a.Auth(a.ApplicationCategories)).Methods(http.MethodGet, http.MethodPost)
coroot-src/main.go	199	api_or_http_route	HandleFunc	Get,Post	/api/project/{project}/custom_applications	r.HandleFunc("/api/project/{project}/custom_applications", a.Auth(a.CustomApplications)).Methods(http.MethodGet, http.MethodPost)
coroot-src/main.go	200	api_or_http_route	HandleFunc	Get,Post,Delete	/api/project/{project}/custom_cloud_pricing	r.HandleFunc("/api/project/{project}/custom_cloud_pricing", a.Auth(a.CustomCloudPricing)).Methods(http.MethodGet, http.MethodPost, http.MethodDelete)
coroot-src/main.go	201	api_or_http_route	HandleFunc	Get,Put	/api/project/{project}/integrations	r.HandleFunc("/api/project/{project}/integrations", a.Auth(a.Integrations)).Methods(http.MethodGet, http.MethodPut)
coroot-src/main.go	202	api_or_http_route	HandleFunc	Get,Put,Delete,Post	/api/project/{project}/integrations/{type}	r.HandleFunc("/api/project/{project}/integrations/{type}", a.Auth(a.Integration)).Methods(http.MethodGet, http.MethodPut, http.MethodDelete, http.MethodPost)
coroot-src/main.go	203	api_or_http_route	HandleFunc	Get	/api/project/{project}/app/{app}	r.HandleFunc("/api/project/{project}/app/{app}", a.Auth(a.Application)).Methods(http.MethodGet)
coroot-src/main.go	204	api_or_http_route	HandleFunc	Get	/api/project/{project}/app/{app}/rca	r.HandleFunc("/api/project/{project}/app/{app}/rca", a.Auth(a.RCA)).Methods(http.MethodGet)
coroot-src/main.go	205	api_or_http_route	HandleFunc	Get,Post	/api/project/{project}/app/{app}/inspection/{type}/config	r.HandleFunc("/api/project/{project}/app/{app}/inspection/{type}/config", a.Auth(a.Inspection)).Methods(http.MethodGet, http.MethodPost)
coroot-src/main.go	206	api_or_http_route	HandleFunc	Get,Post	/api/project/{project}/app/{app}/instrumentation/{type}	r.HandleFunc("/api/project/{project}/app/{app}/instrumentation/{type}", a.Auth(a.Instrumentation)).Methods(http.MethodGet, http.MethodPost)
coroot-src/main.go	207	api_or_http_route	HandleFunc	Get,Post	/api/project/{project}/app/{app}/profiling	r.HandleFunc("/api/project/{project}/app/{app}/profiling", a.Auth(a.Profiling)).Methods(http.MethodGet, http.MethodPost)
coroot-src/main.go	208	api_or_http_route	HandleFunc	Get,Post	/api/project/{project}/app/{app}/tracing	r.HandleFunc("/api/project/{project}/app/{app}/tracing", a.Auth(a.Tracing)).Methods(http.MethodGet, http.MethodPost)
coroot-src/main.go	209	api_or_http_route	HandleFunc	Get,Post	/api/project/{project}/app/{app}/logs	r.HandleFunc("/api/project/{project}/app/{app}/logs", a.Auth(a.Logs)).Methods(http.MethodGet, http.MethodPost)
coroot-src/main.go	210	api_or_http_route	HandleFunc	Post	/api/project/{project}/app/{app}/risks	r.HandleFunc("/api/project/{project}/app/{app}/risks", a.Auth(a.Risks)).Methods(http.MethodPost)
coroot-src/main.go	211	api_or_http_route	HandleFunc	Get	/api/project/{project}/node/{node}	r.HandleFunc("/api/project/{project}/node/{node}", a.Auth(a.Node)).Methods(http.MethodGet)
